round,number,driver,raw_status,started,on_road_finish,note,source
4,22,Yuki TsunodaTSU,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,27,Nico HulkenbergHUL,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,18,Lance StrollSTR,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,20,Kevin MagnussenMAG,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,77,Valtteri BottasBOT,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,31,Esteban OconOCO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,10,Pierre GaslyGAS,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,2,Logan SargeantSAR,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,24,Zhou GuanyuZHO,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,3,Daniel RicciardoRIC,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,23,Alexander AlbonALB,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
5,1,Max VerstappenVER,1:40:52.554,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,4,Lando NorrisNOR,+13.773s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,11,Sergio PerezPER,+19.160s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,16,Charles LeclercLEC,+23.623s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,55,Carlos SainzSAI,+33.983s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,63,George RussellRUS,+38.724s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,14,Fernando AlonsoALO,+43.414s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,81,Oscar PiastriPIA,+56.198s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,44,Lewis HamiltonHAM,+57.986s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,27,Nico HulkenbergHUL,+60.476s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,31,Esteban OconOCO,+62.812s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,23,Alexander AlbonALB,+65.506s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,10,Pierre GaslyGAS,+69.223s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,24,Zhou GuanyuZHO,+71.689s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,18,Lance StrollSTR,+82.786s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,20,Kevin MagnussenMAG,+87.533s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,2,Logan SargeantSAR,+95.110s,1,1,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,3,Daniel RicciardoRIC,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,22,Yuki TsunodaTSU,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
5,77,Valtteri BottasBOT,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1233/china/race-result
6,4,Lando NorrisNOR,1:30:49.876,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,1,Max VerstappenVER,+7.612s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,16,Charles LeclercLEC,+9.920s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,11,Sergio PerezPER,+14.650s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,55,Carlos SainzSAI,+16.407s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,44,Lewis HamiltonHAM,+16.585s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,22,Yuki TsunodaTSU,+26.185s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,63,George RussellRUS,+34.789s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,14,Fernando AlonsoALO,+37.107s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,31,Esteban OconOCO,+39.746s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,27,Nico HulkenbergHUL,+40.789s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,10,Pierre GaslyGAS,+44.958s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,81,Oscar PiastriPIA,+49.756s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,24,Zhou GuanyuZHO,+49.979s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,3,Daniel RicciardoRIC,+50.956s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,77,Valtteri BottasBOT,+52.356s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,18,Lance StrollSTR,+55.173s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,23,Alexander AlbonALB,+76.091s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,20,Kevin MagnussenMAG,+84.683s,1,1,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
6,2,Logan SargeantSAR,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
7,1,Max VerstappenVER,1:25:25.252,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,4,Lando NorrisNOR,+0.725s,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,16,Charles LeclercLEC,+7.916s,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,81,Oscar PiastriPIA,+14.132s,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,55,Carlos SainzSAI,+22.325s,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,44,Lewis HamiltonHAM,+35.104s,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,63,George RussellRUS,+47.154s,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,11,Sergio PerezPER,+54.776s,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
